source	interaction	target
X1457	1	XNKX2
XMetab__1983___r____	-1	X5743
XMetab__1983___c____	-1	X5743
XMetab__1983___e____	-1	X5743
XMetab__784___x____	1	X836
XMetab__784___c____	1	X836
XMetab__784___e____	1	X836
XMetab__784___m____	1	X836
XMetab__784___l____	1	X836
XMetab__784___n____	1	X836
XMetab__784___r____	1	X836
XMetab__5757___e____	1	X2353
XMetab__5757___c____	1	X2353
XMetab__5757___r____	1	X2353
XMetab__702___c____	1	X5443
XMetab__702___x____	1	X5443
XMetab__702___e____	1	X5443
XMetab__702___c____	-1	X5443
XMetab__702___x____	-1	X5443
XMetab__702___e____	-1	X5443
XMetab__6076___e____	1	X3767
XMetab__6076___c____	1	X3767
XMetab__6076___g____	1	X3767
XMetab__784___x____	-1	X1385
XMetab__784___c____	-1	X1385
XMetab__784___e____	-1	X1385
XMetab__784___m____	-1	X1385
XMetab__784___l____	-1	X1385
XMetab__784___n____	-1	X1385
XMetab__784___r____	-1	X1385
XMetab__446284___e____	1	X116519
XMetab__446284___c____	1	X116519
XMetab__446284___r____	1	X116519
XMetab__446284___l____	1	X116519
XMetab__271___c____	1	X111
XMetab__271___e____	1	X111
XMetab__784___x____	1	X3569
XMetab__784___c____	1	X3569
XMetab__784___e____	1	X3569
XMetab__784___m____	1	X3569
XMetab__784___l____	1	X3569
XMetab__784___n____	1	X3569
XMetab__784___r____	1	X3569
XMetab__271___c____	1	X5533
XMetab__271___e____	1	X5533
XMetab__784___x____	-1	X3479
XMetab__784___c____	-1	X3479
XMetab__784___e____	-1	X3479
XMetab__784___m____	-1	X3479
XMetab__784___l____	-1	X3479
XMetab__784___n____	-1	X3479
XMetab__784___r____	-1	X3479
XMetab__177___m____	-1	X5770
XMetab__177___c____	-1	X5770
XMetab__177___r____	-1	X5770
XMetab__177___x____	-1	X5770
XMetab__177___e____	-1	X5770
XMetab__985___e____	1	X4800
XMetab__985___c____	1	X4800
XMetab__985___r____	1	X4800
XMetab__985___l____	1	X4800
XMetab__985___x____	1	X4800
XMetab__5961___c____	-1	X1503
XMetab__5961___e____	-1	X1503
XMetab__5961___m____	-1	X1503
XMetab__985___e____	1	X116519
XMetab__985___c____	1	X116519
XMetab__985___r____	1	X116519
XMetab__985___l____	1	X116519
XMetab__985___x____	1	X116519
XMetab__764___c____	1	X207
XMetab__764___e____	1	X207
XMetab__145068___e____	1	X4881
XMetab__145068___c____	1	X4881
XMetab__702___c____	1	X2597
XMetab__702___x____	1	X2597
XMetab__702___e____	1	X2597
XMetab__3893___c____	1	X2641
XMetab__3893___e____	1	X2641
XMetab__3893___r____	1	X2641
XMetab__271___c____	1	X826
XMetab__271___e____	1	X826
XMetab__784___x____	1	X3043
XMetab__784___c____	1	X3043
XMetab__784___e____	1	X3043
XMetab__784___m____	1	X3043
XMetab__784___l____	1	X3043
XMetab__784___n____	1	X3043
XMetab__784___r____	1	X3043
XMetab__5202___c____	1	X3350
XMetab__5202___e____	1	X3350
XMetab__271___c____	1	X5573
XMetab__271___e____	1	X5573
XMetab__985___e____	1	X4802
XMetab__985___c____	1	X4802
XMetab__985___r____	1	X4802
XMetab__985___l____	1	X4802
XMetab__985___x____	1	X4802
XMetab__271___c____	1	X6010
XMetab__271___e____	1	X6010
XMetab__271___c____	-1	X6010
XMetab__271___e____	-1	X6010
XMetab__5994___c____	1	X5241
XMetab__5994___e____	1	X5241
XMetab__5994___r____	1	X5241
XMetab__681___c____	1	X5617
XMetab__681___e____	1	X5617
XMetab__681___c____	-1	X5617
XMetab__681___e____	-1	X5617
XMetab__985___e____	1	X5743
XMetab__985___c____	1	X5743
XMetab__985___r____	1	X5743
XMetab__985___l____	1	X5743
XMetab__985___x____	1	X5743
XMetab__13849___e____	1	X2641
XMetab__13849___c____	1	X2641
XMetab__13849___r____	1	X2641
XMetab__119___c____	1	X339403
XMetab__119___m____	1	X339403
XMetab__119___l____	1	X339403
XMetab__119___e____	1	X339403
XMetab__119___n____	1	X339403
XMetab__985___e____	1	X7296
XMetab__985___c____	1	X7296
XMetab__985___r____	1	X7296
XMetab__985___l____	1	X7296
XMetab__985___x____	1	X7296
XMetab__702___c____	1	X2335
XMetab__702___x____	1	X2335
XMetab__702___e____	1	X2335
XMetab__784___x____	1	X581
XMetab__784___c____	1	X581
XMetab__784___e____	1	X581
XMetab__784___m____	1	X581
XMetab__784___l____	1	X581
XMetab__784___n____	1	X581
XMetab__784___r____	1	X581
XMetab__6076___e____	1	X7225
XMetab__6076___c____	1	X7225
XMetab__6076___g____	1	X7225
XMetab__784___x____	1	X5581
XMetab__784___c____	1	X5581
XMetab__784___e____	1	X5581
XMetab__784___m____	1	X5581
XMetab__784___l____	1	X5581
XMetab__784___n____	1	X5581
XMetab__784___r____	1	X5581
XMetab__271___c____	1	X5588
XMetab__271___e____	1	X5588
XMetab__271___c____	1	X5532
XMetab__271___e____	1	X5532
XMetab__5283731___m____	-1	X5741
XMetab__5283731___c____	-1	X5741
XMetab__5283731___e____	-1	X5741
XMetab__446220___r____	-1	X4846
XMetab__446220___e____	-1	X4846
XMetab__446220___c____	-1	X4846
XMetab__5280450___e____	1	X57761
XMetab__5280450___c____	1	X57761
XMetab__5280450___l____	1	X57761
XMetab__5280450___r____	1	X57761
XMetab__702___c____	1	X4846
XMetab__702___x____	1	X4846
XMetab__702___e____	1	X4846
XMetab__702___c____	1	X7124
XMetab__702___x____	1	X7124
XMetab__702___e____	1	X7124
XMetab__6076___e____	1	X7222
XMetab__6076___c____	1	X7222
XMetab__6076___g____	1	X7222
XMetab__271___c____	1	X816
XMetab__271___e____	1	X816
XMetab__9750___c____	1	X4846
XMetab__9750___m____	1	X4846
XMetab__9750___e____	1	X4846
XMetab__784___x____	1	X5595
XMetab__784___c____	1	X5595
XMetab__784___e____	1	X5595
XMetab__784___m____	1	X5595
XMetab__784___l____	1	X5595
XMetab__784___n____	1	X5595
XMetab__784___r____	1	X5595
XMetab__985___e____	1	X4801
XMetab__985___c____	1	X4801
XMetab__985___r____	1	X4801
