Nodes,Activity,measured,type
PAK2,1,1,Kinase
CAMK2A,-1,1,Kinase
MAPKAPK2,-1,1,Kinase
PRKCE,-1,1,Kinase
MAPK9,1,1,Kinase
CDK1,1,1,Kinase
PRKG1,-1,1,Kinase
CDC7,1,1,Kinase
MAPK8,1,1,Kinase
PDPK1,-1,1,Kinase
CDK2,1,1,Kinase
GSK3A,1,1,Kinase
CDK5,1,1,Kinase
CSK,-1,1,Kinase
CDK9,1,1,Kinase
DYRK2,1,1,Kinase
INSR,-1,1,Kinase
AURKB,1,1,Kinase
SRPK2,-1,1,Kinase
MAPK10,1,1,Kinase
CCNB1,1,1,Kinase
MAPT,-1,1,Kinase
JUN,1,1,TF
TEAD1,-1,1,TF
MYC,1,1,TF
RFX5,1,1,TF
E2F4,1,1,TF
HIF1A,1,1,TF
TFAP2A,-1,1,TF
GATA3,-1,1,TF
STAT1,1,1,TF
RBPJ,1,1,TF
ESR1,-1,1,TF
RELA,1,1,TF
FOXA2,-1,1,TF
ATF1,-1,1,TF
ETS2,1,1,TF
HNF4A,-1,1,TF
NFYA,-1,1,TF
IRF1,1,1,TF
SPI1,1,1,TF
MYOD1,-1,1,TF
FOXM1,1,1,TF
IRF3,-1,1,TF
SP3,1,1,TF
SOX2,-1,1,TF
TCF4,-1,1,TF
SREBF1,-1,1,TF
SREBF2,-1,1,TF
TP63,-1,1,TF
STAT3,1,1,TF
FLI1,1,1,TF
STAT2,1,1,TF
GATA6,-1,1,TF
RUNX3,1,1,TF
ZEB2,1,1,TF
HSF1,-1,1,TF
POU5F1,-1,1,TF
SOX9,-1,1,TF
KLF5,-1,1,TF
NRF1,-1,1,TF
IKZF1,1,1,TF
STAT5B,1,1,TF
MNT,-1,1,TF
NR2F1,-1,1,TF
CDX2,-1,1,TF
MXI1,-1,1,TF
CUX1,-1,1,TF
MAX,-1,1,TF
MAZ,-1,1,TF
MAFK,-1,1,TF
ASCL1,-1,1,TF
Hexadecanoate (N-C16:0)_r_,-1,0,metabolite
L-Glutamine_c_,1,1,metabolite
L-Glutamine_e_,1,1,metabolite
L-Glutamine_m_,1,1,metabolite
L-Citrulline_c_,1,1,metabolite
L-Citrulline_m_,1,1,metabolite
L-Citrulline_e_,1,1,metabolite
Adenosine_c_,-1,0,metabolite
PIK3CG,-1,0,Kinase
SPHK2,-1,0,metab_enzyme
CTBP1,1,0,protein
O-Propanoylcarnitine_m_,-1,1,metabolite
O-Propanoylcarnitine_x_,-1,1,metabolite
Ethanolamine_c_,-1,1,metabolite
Uridine_c_,-1,1,metabolite
Sphingosine 1-Phosphate_r_,-1,0,metabolite
SGPL1,-1,0,metab_enzyme
SPHK2,-1,0,metab_enzyme
Succinate_m_,-1,1,metabolite
Hypoxanthine_x_,-1,1,metabolite
Adenine_e_,-1,1,metabolite
Hypoxanthine_c_,-1,1,metabolite
Sphingosine 1-Phosphate_c_,-1,0,metabolite
O-Propanoylcarnitine_c_,-1,1,metabolite
Isovaleryl Carnitine_c_,-1,1,metabolite
Isovaleryl Carnitine_e_,-1,1,metabolite
Succinate_c_,-1,1,metabolite
Inosine_c_,-1,1,metabolite
Creatinine_e_,-1,1,metabolite
O-Propanoylcarnitine_e_,-1,1,metabolite
Adenine_c_,-1,1,metabolite
Inosine_e_,-1,1,metabolite
Succinate_e_,-1,1,metabolite
Uridine_e_,-1,1,metabolite
PNP,-1,0,metab_enzyme
Ethanolamine_e_,-1,1,metabolite
Hypoxanthine_e_,-1,1,metabolite
FYN,1,0,Kinase
PRKCA,-1,0,Kinase
WWTR1,-1,0,protein
LATS1,1,0,Kinase
PRKACA,-1,0,Kinase
PRKCD,-1,0,Kinase
PTK2,-1,0,Kinase
DOK4,1,0,protein
CHUK,1,0,Kinase
IKBKB,-1,0,Kinase
YES1,1,0,Kinase
MAPK3,-1,0,Kinase
MAPK1,1,0,Kinase
PTPRC,-1,0,Kinase
ATM,1,0,Kinase
CTNNB1,-1,0,Kinase
YAP1,1,0,Kinase
GSK3B,-1,0,Kinase
CTNND1,-1,0,Kinase
ITCH,-1,0,protein
PRKCQ,1,0,Kinase
PPP1CC,1,0,Kinase
ARHGDIA,-1,0,protein
IL1R1,1,0,protein
NOTCH2,1,0,protein
HDAC3,1,0,Kinase
CXCR4,-1,0,Kinase
JAK1,1,0,Kinase
RET,1,0,Kinase
RPS6KA4,-1,0,Kinase
CDK4,-1,0,Kinase
RAC1,1,0,Kinase
NR2F2,-1,0,TF
NCOR2,1,0,TF
NR1I2,-1,0,TF
CEBPB,1,0,TF
BRCA1,-1,0,Kinase
SPAG9,-1,0,protein
NR4A1,-1,0,TF
CDON,-1,0,protein
YWHAB,1,0,protein
DTX1,1,0,protein
CDH2,-1,0,protein
PPP1R1A,-1,0,Kinase
CIITA,1,0,protein
SPHS1Ptr,-1,0,metab_enzyme
Succinate_x_,-1,1,metabolite
Uridine_l_,-1,1,metabolite
Uridine_n_,-1,1,metabolite
Creatinine_c_,-1,1,metabolite
