ID,score,is_solution
X1457,1,1
XMetab__1983___r____,1,0
XMetab__1983___c____,3,0
XMetab__1983___e____,2,0
XMetab__784___x____,1,0
XMetab__784___c____,2,0
XMetab__784___e____,1,0
XMetab__784___m____,2,0
XMetab__784___l____,2,0
XMetab__784___n____,1,0
XMetab__784___r____,2,0
XMetab__5757___e____,1,0
XMetab__5757___c____,1,0
XMetab__5757___r____,3,0
XMetab__702___c____,2,0
XMetab__702___x____,2,0
XMetab__702___e____,2,0
XMetab__6076___e____,1,0
XMetab__6076___c____,1,0
XMetab__6076___g____,1,0
XMetab__446284___e____,1,0
XMetab__446284___c____,2,0
XMetab__446284___r____,2,0
XMetab__446284___l____,2,0
XMetab__271___c____,3,0
XMetab__271___e____,2,0
XMetab__177___m____,2,0
XMetab__177___c____,2,0
XMetab__177___r____,2,0
XMetab__177___x____,1,0
XMetab__177___e____,2,0
XMetab__985___e____,2,0
XMetab__985___c____,2,0
XMetab__985___r____,2,1
XMetab__985___l____,1,0
XMetab__985___x____,2,0
XMetab__5961___c____,2,1
XMetab__5961___e____,3,1
XMetab__5961___m____,2,1
XMetab__764___c____,2,0
XMetab__764___e____,2,0
XMetab__145068___e____,2,0
XMetab__145068___c____,1,0
XMetab__3893___c____,3,0
XMetab__3893___e____,2,0
XMetab__3893___r____,2,0
XMetab__5202___c____,2,0
XMetab__5202___e____,2,0
XMetab__5994___c____,2,0
XMetab__5994___e____,1,0
XMetab__5994___r____,1,0
XMetab__681___c____,2,0
XMetab__681___e____,2,0
XMetab__13849___e____,2,0
XMetab__13849___c____,1,0
XMetab__13849___r____,2,0
XMetab__119___c____,2,0
XMetab__119___m____,2,0
XMetab__119___l____,2,0
XMetab__119___e____,1,0
XMetab__119___n____,1,0
XMetab__5283731___m____,2,0
XMetab__5283731___c____,1,0
XMetab__5283731___e____,1,0
XMetab__446220___r____,2,0
XMetab__446220___e____,1,0
XMetab__446220___c____,3,0
XMetab__5280450___e____,3,0
XMetab__5280450___c____,2,0
XMetab__5280450___l____,3,0
XMetab__5280450___r____,2,0
XMetab__9750___c____,2,1
XMetab__9750___m____,2,1
XMetab__9750___e____,2,1
XMetab__5280453___c____,2,0
XMetab__5280453___n____,2,0
XMetab__5280453___e____,2,0
XMetab__5280453___m____,2,0
XMetab__1060___c____,1,0
XMetab__1060___m____,1,0
XMetab__1060___x____,1,0
XMetab__1060___e____,3,0
XMetab__774___e____,2,0
XMetab__774___c____,2,0
XMetab__1103___c____,3,0
XMetab__1103___e____,2,0
XMetab__444899___c____,2,0
XMetab__444899___e____,2,0
XMetab__444899___r____,1,0
XMetab__444899___x____,2,0
XMetab__444899___l____,2,0
XMetab__444899___n____,2,0
XMetab__5282280___c____,3,0
XMetab__5282280___e____,2,0
XMetab__5281___e____,1,0
XMetab__5281___c____,1,0
XMetab__5281___r____,2,0
XMetab__445639___e____,1,0
XMetab__445639___c____,1,0
XMetab__445639___r____,1,0
XMetab__445639___l____,3,0
XMetab__107758___c____,1,0
XMetab__439260___c____,1,0
XMetab__439260___e____,2,0
XMetab__6830___c____,3,0
XMetab__6830___m____,1,0
XMetab__6830___n____,1,0
XMetab__6830___e____,2,0
XMetab__896___c____,2,0
XMetab__896___e____,2,0
XMetab__5281969___c____,2,0
XMetab__5281969___e____,1,0
XMetab__1102___c____,2,0
XMetab__1102___e____,2,0
XMetab__5280934___e____,2,0
