Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
X5062	0	100	0	100	T
X815	0	0	100	-100	T
X1457	100	0	0	0	T
X1022	100	0	0	0	T
X9261	0	0	100	-100	T
X5581	0	0	100	-100	T
X5601	0	100	0	100	T
X983	0	100	0	100	T
X5592	0	0	100	-100	T
X8317	0	100	0	100	T
X5599	0	100	0	100	T
X5170	0	0	100	-100	T
X1459	100	0	0	0	T
X1017	0	100	0	100	T
X2931	0	100	0	100	T
X1020	0	100	0	100	T
X1445	0	0	100	-100	T
X1025	0	100	0	100	T
X8445	0	100	0	100	T
X3643	0	0	100	-100	T
X9212	0	100	0	100	T
X6733	0	0	100	-100	T
X55872	100	0	0	0	T
X91754	100	0	0	0	T
X5602	0	100	0	100	T
X84630	100	0	0	0	T
X891	0	100	0	100	T
X4137	0	0	100	-100	T
X3725	0	100	0	100	T
X7003	0	0	100	-100	T
X5090	100	0	0	0	T
X4609	0	100	0	100	T
X5914	100	0	0	0	T
X5993	0	100	0	100	T
X2034	100	0	0	0	T
X1874	0	100	0	100	T
X3091	0	100	0	100	T
X10664	100	0	0	0	T
X3169	100	0	0	0	T
X7020	0	0	100	-100	T
X2625	0	0	100	-100	T
X4790	100	0	0	0	T
X6772	0	100	0	100	T
X3516	0	100	0	100	T
X2099	0	0	100	-100	T
X5970	0	100	0	100	T
X3170	0	0	100	-100	T
X4212	100	0	0	0	T
X1958	100	0	0	0	T
X466	0	0	100	-100	T
X2114	0	100	0	100	T
X3172	0	0	100	-100	T
X4800	0	0	100	-100	T
X3659	0	100	0	100	T
X6688	0	100	0	100	T
X4654	0	0	100	-100	T
X2305	0	100	0	100	T
X5989	100	0	0	0	T
X3661	0	0	100	-100	T
X6670	0	100	0	100	T
X5452	100	0	0	0	T
X6657	0	0	100	-100	T
X6925	0	0	100	-100	T
X1386	100	0	0	0	T
X6720	0	0	100	-100	T
X6721	0	0	100	-100	T
X8626	0	0	100	-100	T
X11016	100	0	0	0	T
X6774	0	100	0	100	T
X2313	0	100	0	100	T
X6773	0	100	0	100	T
X2627	0	0	100	-100	T
X864	0	100	0	100	T
X9839	0	100	0	100	T
X3297	0	0	100	-100	T
X5460	0	0	100	-100	T
X6662	0	0	100	-100	T
X688	0	0	100	-100	T
X4899	0	0	100	-100	T
X5316	100	0	0	0	T
X10320	0	100	0	100	T
X6777	0	100	0	100	T
X6689	100	0	0	0	T
X4335	0	0	100	-100	T
X7025	0	0	100	-100	T
X1045	0	0	100	-100	T
X4601	0	0	100	-100	T
X9575	100	0	0	0	T
X1523	0	0	100	-100	T
X6928	100	0	0	0	T
X7023	100	0	0	0	T
X7027	100	0	0	0	T
X4149	0	0	100	-100	T
X4150	0	0	100	-100	T
X7975	0	0	100	-100	T
X51621	100	0	0	0	T
X10661	100	0	0	0	T
X429	0	0	100	-100	T
X9112	100	0	0	0	T
X4152	100	0	0	0	T
XMetab__1983___r____	100	0	0	0	
XMetab__1983___c____	100	0	0	0	
XMetab__1983___e____	100	0	0	0	
XMetab__784___x____	100	0	0	0	
XMetab__784___c____	100	0	0	0	
XMetab__784___e____	100	0	0	0	
XMetab__784___m____	100	0	0	0	
XMetab__784___l____	100	0	0	0	
XMetab__784___n____	100	0	0	0	
XMetab__784___r____	100	0	0	0	
XMetab__5757___e____	100	0	0	0	
XMetab__5757___c____	100	0	0	0	
XMetab__5757___r____	100	0	0	0	
XMetab__702___c____	100	0	0	0	
XMetab__702___x____	100	0	0	0	
XMetab__702___e____	100	0	0	0	
XMetab__6076___e____	100	0	0	0	
XMetab__6076___c____	100	0	0	0	
XMetab__6076___g____	100	0	0	0	
XMetab__446284___e____	100	0	0	0	
XMetab__446284___c____	100	0	0	0	
XMetab__446284___r____	100	0	0	0	
XMetab__446284___l____	100	0	0	0	
XMetab__271___c____	100	0	0	0	
XMetab__271___e____	100	0	0	0	
XMetab__177___m____	100	0	0	0	
XMetab__177___c____	100	0	0	0	
XMetab__177___r____	100	0	0	0	
XMetab__177___x____	100	0	0	0	
XMetab__177___e____	100	0	0	0	
XMetab__985___e____	100	0	0	0	
XMetab__985___c____	100	0	0	0	
XMetab__985___r____	0	0	100	-100	
XMetab__985___l____	100	0	0	0	
XMetab__985___x____	100	0	0	0	
XMetab__5961___c____	0	100	0	100	S
XMetab__5961___e____	0	100	0	100	S
XMetab__5961___m____	0	100	0	100	S
XMetab__764___c____	100	0	0	0	
XMetab__764___e____	100	0	0	0	
XMetab__145068___e____	100	0	0	0	
XMetab__145068___c____	100	0	0	0	
XMetab__3893___c____	100	0	0	0	
XMetab__3893___e____	100	0	0	0	
XMetab__3893___r____	100	0	0	0	
XMetab__5202___c____	100	0	0	0	
XMetab__5202___e____	100	0	0	0	
XMetab__5994___c____	100	0	0	0	
XMetab__5994___e____	100	0	0	0	
XMetab__5994___r____	100	0	0	0	
XMetab__681___c____	100	0	0	0	
XMetab__681___e____	100	0	0	0	
XMetab__13849___e____	100	0	0	0	
XMetab__13849___c____	100	0	0	0	
XMetab__13849___r____	100	0	0	0	
XMetab__119___c____	100	0	0	0	
XMetab__119___m____	100	0	0	0	
XMetab__119___l____	100	0	0	0	
XMetab__119___e____	100	0	0	0	
XMetab__119___n____	100	0	0	0	
XMetab__5283731___m____	100	0	0	0	
XMetab__5283731___c____	100	0	0	0	
XMetab__5283731___e____	100	0	0	0	
XMetab__446220___r____	100	0	0	0	
XMetab__446220___e____	100	0	0	0	
XMetab__446220___c____	100	0	0	0	
XMetab__5280450___e____	100	0	0	0	
XMetab__5280450___c____	100	0	0	0	
XMetab__5280450___l____	100	0	0	0	
XMetab__5280450___r____	100	0	0	0	
XMetab__9750___c____	0	100	0	100	S
XMetab__9750___m____	0	100	0	100	S
XMetab__9750___e____	0	100	0	100	S
XMetab__5280453___c____	100	0	0	0	
XMetab__5280453___n____	100	0	0	0	
XMetab__5280453___e____	100	0	0	0	
XMetab__5280453___m____	100	0	0	0	
XMetab__1060___c____	100	0	0	0	
XMetab__1060___m____	100	0	0	0	
XMetab__1060___x____	100	0	0	0	
XMetab__1060___e____	100	0	0	0	
XMetab__774___e____	100	0	0	0	
XMetab__774___c____	100	0	0	0	
XMetab__1103___c____	100	0	0	0	
XMetab__1103___e____	100	0	0	0	
XMetab__444899___c____	100	0	0	0	
XMetab__444899___e____	100	0	0	0	
XMetab__444899___r____	100	0	0	0	
XMetab__444899___x____	100	0	0	0	
XMetab__444899___l____	100	0	0	0	
XMetab__444899___n____	100	0	0	0	
XMetab__5282280___c____	100	0	0	0	
XMetab__5282280___e____	100	0	0	0	
XMetab__5281___e____	100	0	0	0	
XMetab__5281___c____	100	0	0	0	
XMetab__5281___r____	100	0	0	0	
XMetab__445639___e____	100	0	0	0	
XMetab__445639___c____	100	0	0	0	
XMetab__445639___r____	100	0	0	0	
XMetab__445639___l____	100	0	0	0	
XMetab__107758___c____	100	0	0	0	
XMetab__439260___c____	100	0	0	0	
XMetab__439260___e____	100	0	0	0	
XMetab__6830___c____	100	0	0	0	
XMetab__6830___m____	100	0	0	0	
XMetab__6830___n____	100	0	0	0	
XMetab__6830___e____	100	0	0	0	
XMetab__896___c____	100	0	0	0	
XMetab__896___e____	100	0	0	0	
XMetab__5281969___c____	100	0	0	0	
XMetab__5281969___e____	100	0	0	0	
XMetab__1102___c____	100	0	0	0	
XMetab__1102___e____	100	0	0	0	
XMetab__5280934___e____	100	0	0	0	
XMetab__5280934___c____	100	0	0	0	
XMetab__5280934___r____	100	0	0	0	
XMetab__5280934___l____	100	0	0	0	
XMetab__264___c____	100	0	0	0	
XMetab__264___m____	100	0	0	0	
XMetab__264___e____	100	0	0	0	
XMetab__931___e____	100	0	0	0	
XMetab__931___c____	100	0	0	0	
XMetab__16950___c____	100	0	0	0	
XMetab__16950___e____	100	0	0	0	
XMetab__4594___e____	100	0	0	0	
XMetab__4594___c____	100	0	0	0	
XMetab__1045___c____	100	0	0	0	
XMetab__1045___e____	100	0	0	0	
XMetab__1045___m____	100	0	0	0	
XMetab__5280360___c____	100	0	0	0	
XMetab__5280360___e____	100	0	0	0	
XMetab__5280360___r____	100	0	0	0	
XMetab__5280360___m____	100	0	0	0	
XMetab__445638___e____	100	0	0	0	
XMetab__445638___c____	100	0	0	0	
XMetab__445638___r____	100	0	0	0	
XMetab__445638___l____	100	0	0	0	
XMetab__445638___m____	100	0	0	0	
XMetab__1032___m____	100	0	0	0	
XMetab__1032___c____	100	0	0	0	
XMetab__1032___e____	100	0	0	0	
XMetab__187___e____	100	0	0	0	
XMetab__187___n____	100	0	0	0	
XMetab__187___c____	100	0	0	0	
XMetab__6419712___g____	100	0	0	0	
XMetab__6419712___c____	100	0	0	0	
XMetab__6419712___l____	100	0	0	0	
XMetab__449171___r____	100	0	0	0	
XMetab__449171___c____	100	0	0	0	
XMetab__449171___e____	100	0	0	0	
XMetab__5870___r____	100	0	0	0	
XMetab__5870___c____	100	0	0	0	
XMetab__5870___e____	100	0	0	0	
XMetab__60961___c____	0	0	100	-100	
XMetab__60961___e____	100	0	0	0	
XMetab__60961___m____	100	0	0	0	
XMetab__60961___l____	100	0	0	0	
XMetab__124886___e____	100	0	0	0	
XMetab__124886___c____	100	0	0	0	
XMetab__124886___r____	100	0	0	0	
XMetab__124886___m____	100	0	0	0	
XMetab__6262___c____	100	0	0	0	
XMetab__6262___m____	100	0	0	0	
XMetab__6262___e____	100	0	0	0	
XMetab__5280723___e____	100	0	0	0	
XMetab__5280723___c____	100	0	0	0	
XMetab__439456___c____	100	0	0	0	
XMetab__36314___e____	100	0	0	0	
XMetab__36314___c____	100	0	0	0	
XMetab__961___c____	100	0	0	0	
XMetab__961___e____	100	0	0	0	
XMetab__24316___c____	100	0	0	0	
XMetab__24316___n____	100	0	0	0	
XMetab__24316___e____	100	0	0	0	
XMetab__24316___g____	100	0	0	0	
XMetab__6322___m____	100	0	0	0	
XMetab__6322___e____	100	0	0	0	
XMetab__6322___c____	100	0	0	0	
XMetab__6013___e____	100	0	0	0	
XMetab__6013___r____	100	0	0	0	
XMetab__6013___c____	100	0	0	0	
XMetab__5819___e____	100	0	0	0	
XMetab__5819___c____	100	0	0	0	
XMetab__14985___e____	100	0	0	0	
XMetab__14985___c____	100	0	0	0	
XMetab__104806___c____	100	0	0	0	
XMetab__104806___e____	100	0	0	0	
XMetab__4485___e____	100	0	0	0	
XMetab__4485___c____	100	0	0	0	
XMetab__68841___c____	100	0	0	0	
XMetab__68841___e____	100	0	0	0	
XMetab__5920___e____	100	0	0	0	
XMetab__5920___c____	100	0	0	0	
XMetab__6305___c____	100	0	0	0	
XMetab__6305___e____	100	0	0	0	
XMetab__445580___e____	100	0	0	0	
XMetab__445580___c____	100	0	0	0	
XMetab__445580___l____	100	0	0	0	
XMetab__445580___r____	100	0	0	0	
