Node1,Sign,Node2,Weight
CSK,-1,YES1,100
PRKACA,-1,RET,100
PRKACA,-1,GSK3A,100
PRKACA,-1,CIITA,100
PRKCA,-1,GSK3A,100
ITCH,-1,DTX1,100
STAT1, 1,IRF1,100
MAPK10, 1,JUN,100
PRKCD,-1,FLI1,100
PRKCD,-1,GSK3A,100
PRKCD,-1,YWHAB,100
AURKB, 1,ATM,100
FOXM1, 1,AURKB,100
RET, 1,MAPK1,100
RET, 1,STAT3,100
RET, 1,MAPK8,100
RET, 1,DOK4,100
PRKCQ, 1,CHUK,100
CHUK, 1,RELA,100
LATS1, 1,YAP1,100
MAPK9, 1,MYC,100
CDK2, 1,MYC,100
STAT1, 1,MYC,100
MAPK1, 1,MYC,100
GSK3B,-1,MYC,100
MAPK8, 1,MYC,100
MAPK9, 1,STAT1,100
RAC1, 1,MAPK9,100
MAPK9, 1,STAT3,100
MAPK8, 1,MAPK9,100
MAPK9, 1,JUN,100
STAT3, 1,SPI1,100
JUN, 1,SPI1,100
NCOR2, 1,HDAC3,100
NCOR2, 1,CTBP1,100
RBPJ, 1,NCOR2,100
CAMK2A,-1,NCOR2,100
CDK2, 1,CEBPB,100
MAPK1, 1,CDK2,100
CDK2, 1,FOXM1,100
PPP1CC, 1,CDK9,100
GATA3,-1,CEBPB,100
ATM, 1,DYRK2,100
ATM, 1,HIF1A,100
JAK1, 1,STAT1,100
STAT2, 1,STAT1,100
MAPK1, 1,STAT1,100
STAT3, 1,STAT1,100
MAPK8, 1,STAT1,100
RAC1, 1,PAK2,100
RAC1, 1,STAT3,100
RAC1, 1,MAPK8,100
ARHGDIA,-1,RAC1,100
CEBPB, 1,E2F4,100
MAPK1, 1,CEBPB,100
CEBPB, 1,STAT3,100
MAPK3,-1,CIITA,100
JAK1, 1,STAT2,100
JAK1, 1,STAT3,100
JAK1, 1,STAT5B,100
PTPRC,-1,JAK1,100
CTBP1, 1,ZEB2,100
CDK1, 1,LATS1,100
CDK1, 1,CCNB1,100
GSK3B,-1,CDK1,100
CDK1, 1,CDC7,100
CDK1, 1,FOXM1,100
NOTCH2, 1,RBPJ,100
CDK4,-1,RUNX3,100
MAPK1, 1,RELA,100
RELA, 1,JUN,100
MAPK1, 1,SP3,100
MAPK1, 1,HIF1A,100
MAPK1, 1,STAT3,100
MAPK1, 1,JUN,100
MAPK1, 1,CIITA,100
FOXM1, 1,CCNB1,100
PAK2, 1,JUN,100
GSK3B,-1,JUN,100
GSK3B,-1,NOTCH2,100
MAPK8, 1,STAT3,100
CAMK2A,-1,ETS2,100
MAPK8, 1,JUN,100
IKBKB,-1,YWHAB,100
PPP1R1A,-1,PPP1CC,100
PPP1CC, 1,IKZF1,100
CIITA, 1,RFX5,100
Hexadecanoate (N-C16:0)_r_, 1,NFYA,100
Adenosine_c_, 1,CXCR4,100
Hexadecanoate (N-C16:0)_r_, 1,NRF1,100
Hexadecanoate (N-C16:0)_r_, 1,SREBF2,100
Sphingosine 1-Phosphate_r_, 1,SGPL1,100
SGPL1, 1,Hexadecanoate (N-C16:0)_r_,100
SPHK2, 1,Sphingosine 1-Phosphate_c_,100
PNP, 1,Adenosine_c_,100
Adenine_c_, 1,PNP,100
PRKCA, 1,PRKG1,100
WWTR1, 1,MYOD1,100
LATS1,-1,WWTR1,100
WWTR1, 1,TEAD1,100
YES1,-1,CDK4,100
PRKACA, 1,CTNNB1,100
PRKACA, 1,ESR1,100
PDPK1, 1,PRKACA,100
PRKACA, 1,HSF1,100
PRKACA, 1,SOX9,100
PRKACA, 1,MAPT,100
PRKACA, 1,GSK3B,100
PRKACA, 1,CSK,100
PRKACA, 1,ARHGDIA,100
PRKACA, 1,PPP1R1A,100
PRKACA, 1,TFAP2A,100
PDPK1, 1,PRKCA,100
PRKCA, 1,MAPK3,100
PRKCA, 1,INSR,100
PRKCA, 1,IKBKB,100
CTNNB1, 1,MYOD1,100
GSK3A,-1,CTNNB1,100
CTNNB1, 1,NR4A1,100
CTNNB1, 1,TCF4,100
PDPK1, 1,PRKCE,100
GSK3B, 1,PRKCE,100
YAP1,-1,ITCH,100
PDPK1, 1,PRKCD,100
PRKCD, 1,KLF5,100
MAPK3, 1,MAPKAPK2,100
MAPKAPK2, 1,HSF1,100
CXCR4, 1,PIK3CG,100
CHUK,-1,FOXA2,100
RPS6KA4, 1,ATF1,100
MAPK3, 1,SREBF1,100
CDK2,-1,MYOD1,100
CDK1,-1,MYOD1,100
CDK2,-1,TP63,100
CDK2,-1,NR1I2,100
CDK2,-1,CDX2,100
HDAC3,-1,MAFK,100
ESR1, 1,GATA3,100
MAPK3, 1,ESR1,100
GSK3B, 1,ESR1,100
CTNND1, 1,CDH2,100
PIK3CG, 1,PDPK1,100
ATM,-1,TP63,100
ATM,-1,BRCA1,100
IKBKB, 1,TP63,100
MAPK3, 1,SREBF2,100
GSK3A,-1,MAPT,100
GSK3A,-1,GATA6,100
MAPK8,-1,NR4A1,100
NR4A1, 1,NR2F2,100
NR1I2, 1,HNF4A,100
BRCA1, 1,SOX2,100
MAX, 1,MNT,100
SPAG9, 1,MAX,100
MAX, 1,MXI1,100
MAPK3, 1,RPS6KA4,100
MAPK3, 1,HSF1,100
MAPK3, 1,MAPT,100
MAPK3, 1,SPHK2,100
MAPK3, 1,MAZ,100
IKBKB, 1,IRF3,100
MAPK8,-1,HSF1,100
CDK1,-1,CUX1,100
MAPK1,-1,MAPT,100
MAPK1,-1,GSK3B,100
MAPK1,-1,POU5F1,100
CAMK2A, 1,MAPT,100
PPP1CC,-1,CAMK2A,100
CDH2, 1,CDON,100
CDON, 1,SPAG9,100
CSK, 1,PTPRC,100
NR2F2, 1,NR2F1,100
YWHAB,-1,SRPK2,100
DTX1,-1,ASCL1,100
Sphingosine 1-Phosphate_c_, 1,SPHS1Ptr,100
SPHS1Ptr, 1,Sphingosine 1-Phosphate_r_,100
